loss,iou,epoch,step
0.5188634991645813,0.8643503427505493,0,13
0.43205174803733826,0.8643503427505493,1,27
0.3824627995491028,0.8641232907772064,2,41
0.4136980473995209,0.8332831263542175,3,49
0.3833560645580292,0.8643503427505493,3,55
0.3588954210281372,0.8643503427505493,4,69
0.3731614053249359,0.8643503427505493,5,83
0.36990171670913696,0.8643512725830078,6,97
0.28268587589263916,0.9048780202865601,7,99
0.37041693925857544,0.8643503427505493,7,111
0.3962404727935791,0.864106011390686,8,125
0.39233240485191345,0.8625844120979309,9,139
0.3330616354942322,0.8687456846237183,10,149
0.3544476628303528,0.864218020439148,10,153
0.371899276971817,0.863337367773056,11,167
0.3766430914402008,0.8550893068313599,12,181
0.3646383285522461,0.8618279218673706,13,195
0.49543628096580505,0.7174547910690308,14,199
0.33872684836387634,0.8607336282730103,14,209
0.40096575021743774,0.8643199801445007,15,223
0.35623258352279663,0.8623787701129914,16,237
0.3474293649196625,0.8828133940696716,17,249
0.3521634340286255,0.8632446944713592,17,251
0.3778804838657379,0.8632287442684173,18,265
0.32116076350212097,0.8627842724323272,19,279
0.358100026845932,0.8627976596355438,20,293
0.3170306384563446,0.8551086187362671,21,299
0.42585888504981995,0.8545681655406951,21,307
0.3565199673175812,0.8643082797527313,22,321
0.3269806206226349,0.8438198983669281,23,335
0.17895027995109558,0.9506726264953613,24,349
0.3496114909648895,0.862366133928299,24,349
0.3559262752532959,0.8577363193035126,25,363
0.35116711258888245,0.8637389779090882,26,377
0.35566622018814087,0.8607895612716675,27,391
0.3015773892402649,0.8758737444877625,28,399
0.34027737379074097,0.8625065803527832,28,405
0.34676212072372437,0.8373822689056396,29,419
0.3358777165412903,0.8628155052661896,30,433
0.37076711654663086,0.854323410987854,31,447
0.18643447756767273,0.9388786554336548,32,449
0.34292203187942505,0.8301384329795838,32,461
0.39376166462898254,0.864016193151474,33,475
0.32214033603668213,0.8643605172634125,34,489
0.21918103098869324,0.9217607378959656,35,499
0.32568231225013733,0.857674914598465,35,503
0.3198270797729492,0.8647075235843659,36,517
0.3397544026374817,0.8125048398971557,37,531
0.3539329767227173,0.8401088953018189,38,545
0.2738903760910034,0.893364429473877,39,549
0.32812315225601196,0.8585090816020966,39,559
0.365914523601532,0.8003017663955688,40,573
0.36595815420150757,0.8574083685874939,41,587
0.23599442839622498,0.8936672210693359,42,599
0.3435533046722412,0.8479736745357513,42,601
0.33355382084846497,0.8172854244709015,43,615
