loss,iou,epoch,step,val_loss,val_iou
0.2958415448665619,0.9534285068511963,0,13,,
,,0,13,0.44947952032089233,0.912382709980011
0.2964971363544464,0.8903886079788208,1,27,,
,,1,27,0.3224869668483734,0.9123779356479644
0.45997369289398193,0.7722781896591187,2,41,,
,,2,41,0.28232255578041077,0.9122823238372803
0.7646455764770508,0.7046712636947632,3,55,,
,,3,55,0.2985038757324219,0.9116989374160767
0.2462986707687378,0.92493736743927,4,69,,
,,4,69,0.2853162884712219,0.9090351402759552
0.20217376947402954,0.9744890928268433,5,83,,
,,5,83,0.30829983949661255,0.9099738538265228
0.3276957869529724,0.8955726027488708,6,97,,
,,6,97,0.3063216209411621,0.9116443395614624
0.5190784931182861,0.8650388717651367,7,111,,
,,7,111,0.2953863739967346,0.9120036721229553
0.2992951273918152,0.9101627469062805,8,125,,
,,8,125,0.318636417388916,0.9117478013038636
0.1795976608991623,0.9883754849433899,9,139,,
,,9,139,0.29528290033340454,0.9073829054832458
0.18854829668998718,0.9808444976806641,10,153,,
,,10,153,0.2943331301212311,0.9059533298015594
0.27985715866088867,0.9006445407867432,11,167,,
,,11,167,0.301224023103714,0.9119651079177856
0.21244075894355774,0.9525678157806396,12,181,,
,,12,181,0.2913329601287842,0.9120076954364776
0.4891353249549866,0.7847871780395508,13,195,,
,,13,195,0.29511985182762146,0.9117908418178559
0.37770193815231323,0.8481013774871826,14,209,,
,,14,209,0.32728782296180725,0.9114370584487915
0.2620399594306946,0.9141069650650024,15,223,,
,,15,223,0.2832401990890503,0.9117730677127838
0.7832504510879517,0.6064125895500183,16,237,,
,,16,237,0.3095320165157318,0.9117701113224029
0.2978067398071289,0.8600339889526367,17,251,,
,,17,251,0.33840686082839966,0.9097933053970337
0.2262638807296753,0.9379158020019531,18,265,,
,,18,265,0.361186683177948,0.9108183741569519
0.17762690782546997,0.9775525331497192,19,279,,
,,19,279,0.3118915259838104,0.9108398973941803
0.20943741500377655,0.9572144746780396,20,293,,
,,20,293,0.30034807324409485,0.9071184039115906
0.18984675407409668,0.9850823879241943,21,307,,
,,21,307,0.3262200951576233,0.8986694931983947
0.4157315492630005,0.8673300743103027,22,321,,
,,22,321,0.2586017847061157,0.9121573448181153
0.9607075452804565,0.5640432238578796,23,335,,
,,23,335,0.30981045961380005,0.9122864425182342
0.26573625206947327,0.9091192483901978,24,349,,
,,24,349,0.2850710153579712,0.9106890738010407
0.5099508762359619,0.7731904983520508,25,363,,
,,25,363,0.3576143682003021,0.8592287421226501
0.29036232829093933,0.8918784260749817,26,377,,
,,26,377,0.24153737723827362,0.9126256704330444
0.2719593644142151,0.900270402431488,27,391,,
,,27,391,0.2871137261390686,0.8815220773220063
0.5858159065246582,0.669253945350647,28,405,,
,,28,405,0.3196905255317688,0.8414181590080261
0.3197900354862213,0.8502073287963867,29,419,,
,,29,419,0.41061335802078247,0.7628566980361938
0.2985071539878845,0.8827077150344849,30,433,,
,,30,433,0.2441362887620926,0.9069137573242188
0.34107810258865356,0.8454260230064392,31,447,,
,,31,447,0.28446149826049805,0.9079781830310821
0.3109838366508484,0.8898316025733948,32,461,,
,,32,461,0.31109216809272766,0.8284894824028015
0.3336676061153412,0.8773250579833984,33,475,,
,,33,475,0.2497924268245697,0.9087018191814422
0.3800494074821472,0.8027585744857788,34,489,,
,,34,489,0.27583304047584534,0.8824204206466675
0.9346381425857544,0.5423154830932617,35,503,,
,,35,503,0.2845613360404968,0.8479504287242889
0.560969352722168,0.6162172555923462,36,517,,
,,36,517,0.3259730339050293,0.7704165279865265
0.3633967638015747,0.8475611209869385,37,531,,
,,37,531,0.25738725066185,0.8866680145263672
0.18428641557693481,0.9292249083518982,38,545,,
,,38,545,0.3098200261592865,0.7775575995445252
0.23657260835170746,0.9029293060302734,39,559,,
,,39,559,0.23713448643684387,0.9015580236911773
0.4212379455566406,0.8185456991195679,40,573,,
,,40,573,0.24597394466400146,0.904078608751297
0.4202578663825989,0.7909533381462097,41,587,,
,,41,587,0.252181738615036,0.9091816544532776
0.19737911224365234,0.9385441541671753,42,601,,
,,42,601,0.24873407185077667,0.9025651216506958
0.2598613500595093,0.8796603679656982,43,615,,
,,43,615,0.24661734700202942,0.8796058297157288
0.2542538344860077,0.870514452457428,44,629,,
,,44,629,0.24632450938224792,0.9007494986057282
0.3317887783050537,0.8691436052322388,45,643,,
,,45,643,0.2394454926252365,0.8821497976779937
0.18013960123062134,0.9254453182220459,46,657,,
,,46,657,0.2535775899887085,0.8777612030506134
0.1790388524532318,0.9368106126785278,47,671,,
,,47,671,0.23202283680438995,0.9077861845493317
0.2569291591644287,0.9133177995681763,48,685,,
,,48,685,0.2701851725578308,0.8713437199592591
0.3735119700431824,0.8402124643325806,49,699,,
,,49,699,0.353548526763916,0.7219661831855774
0.31061744689941406,0.8154000043869019,50,713,,
,,50,713,0.2377406656742096,0.8934123039245605
1.0268248319625854,0.5967342853546143,51,727,,
,,51,727,0.22351035475730896,0.905805379152298
0.23000264167785645,0.882445216178894,52,741,,
,,52,741,0.5193554759025574,0.6634870588779449
0.8225749135017395,0.554232656955719,53,755,,
,,53,755,0.242793008685112,0.8887483537197113
0.3755321502685547,0.8388152122497559,54,769,,
,,54,769,0.2445221245288849,0.900087571144104
0.30045801401138306,0.8553875684738159,55,783,,
,,55,783,0.25134411454200745,0.8863592505455017
0.15115457773208618,0.9533216953277588,56,797,,
,,56,797,0.41507893800735474,0.6868960201740265
0.3373519480228424,0.8305013179779053,57,811,,
,,57,811,0.22093720734119415,0.8977673888206482
0.32001805305480957,0.835334300994873,58,825,,
,,58,825,0.3012615740299225,0.8268069326877594
0.30377769470214844,0.8316521048545837,59,839,,
,,59,839,0.33372780680656433,0.785234534740448
0.2511362135410309,0.860190749168396,60,853,,
,,60,853,0.28314757347106934,0.8509741246700286
0.16125771403312683,0.9586668014526367,61,867,,
,,61,867,0.22946777939796448,0.8955267667770386
0.18858012557029724,0.9283665418624878,62,881,,
,,62,881,0.2757226526737213,0.867556357383728
0.15755054354667664,0.9532753229141235,63,895,,
,,63,895,0.2730804681777954,0.8578002691268921
0.3085365891456604,0.8391058444976807,64,909,,
,,64,909,0.22615310549736023,0.8902962028980255
0.3610254228115082,0.8085242509841919,65,923,,
,,65,923,0.22780025005340576,0.8850923538208008
0.20527154207229614,0.892728328704834,66,937,,
,,66,937,0.24067148566246033,0.8853692293167115
0.3227316737174988,0.8587052822113037,67,951,,
,,67,951,0.21721908450126648,0.9027784645557404
0.6948647499084473,0.6623156666755676,68,965,,
,,68,965,0.24855825304985046,0.8798632502555848
0.4515109062194824,0.7521560192108154,69,979,,
,,69,979,0.22830235958099365,0.9022614479064941
1.1855536699295044,0.4943400025367737,70,993,,
,,70,993,0.26798397302627563,0.8567651689052582
0.2566494047641754,0.886150598526001,71,1007,,
,,71,1007,0.22672037780284882,0.905892676115036
0.20634767413139343,0.8933667540550232,72,1021,,
,,72,1021,0.31795406341552734,0.8217805683612823
0.6509206295013428,0.6477938890457153,73,1035,,
,,73,1035,0.22747333347797394,0.9120670676231384
0.6259772777557373,0.6083945631980896,74,1049,,
,,74,1049,0.3078785836696625,0.8173475384712219
0.22877845168113708,0.9042035341262817,75,1063,,
,,75,1063,0.25652411580085754,0.876719331741333
0.40587666630744934,0.7854711413383484,76,1077,,
,,76,1077,0.2254565954208374,0.8942924857139587
0.2654445767402649,0.8579451441764832,77,1091,,
,,77,1091,0.2554536759853363,0.8621894299983979
0.17847126722335815,0.9234519600868225,78,1105,,
,,78,1105,0.2401147335767746,0.8834504902362823
0.20045405626296997,0.8929399251937866,79,1119,,
,,79,1119,0.2706058621406555,0.855509489774704
0.18481133878231049,0.9138851165771484,80,1133,,
